Artist,artist_id
Tommy Richman,1
Kendrick Lamar,2
Artemas,3
Miley Cyrus,4
Eminem,5
Jack Harlow,6
Benson Boone,7
Floyymenor,8
Music Lab Jpn,9
Central Cee,10
Post Malone,11
Teddy Swims,12
Billie Eilish,13
Future,14
Kids With Buns,15
Myke Towers,16
Taylor Swift,17
Tate Mcrae,18
Harry Styles,19
Doja Cat,20
Sabrina Carpenter,21
Beyoncï¿,22
Official Sound Studio,23
Wz Beat,24
The Kid Laroi,25
Pinkfong,26
Ariana Grande,27
Jay-Z,28
Love Bgm Jpn,29
Babymonster,30
Tyla,31
Kenya Grace,32
Hozier,33
Tina Turner,34
Shaboozey,35
Gunna,36
Tones And I,37
Sped Up 8282,38
David Guetta,39
David Kushner,40
Mitski,41
Dua Lipa,42
Mae Stephens,43
Luis Fonsi,44
Mvua,45
Rema,46
Ed Sheeran,47
Maian,48
The Weeknd,49
Metro Boomin,50
Patati Patatï¿,51
Sam Smith,52
Edward Maya,53
Mitsu Sound,54
Aespa,55
Bad Bunny,56
Juvenile,57
Ýý$,58
Sza,59
Guy Mac,60
Glass Animals,61
Linkin Park,62
Bizarrap,63
Powerdress,64
Lil Nas X,65
Grupo Frontera,66
Jawsh 685,67
Dave,68
Karol G,69
Farruko,70
Dave Angel,71
Eslabon Armado,72
Yng Lvcas,73
21 Savage,74
Adele,75
Lil Durk,76
Illit,77
Darell,78
Xavi,79
Pinkpantheress,80
Peso Pluma,81
Cassï¿,82
Dj Samir,83
Paul Russell,84
Peggy Gou,85
Roddy Ricch,86
Jaxomy,87
Luke Combs,88
Creepy Nuts,89
Tollan Kim,90
Dianï¿½,91
3 Palavrinhas,92
Imagine Dragons,93
Travis Scott,94
Jere Klein,95
Goovex,96
Onerepublic,97
Exhumed,98
24Kgoldn,99
Bts,100
Wasteland,101
Lewis Capaldi,102
Shakira,103
Meghan Trainor,104
Dj Moigus,105
Shreya Ghoshal,106
Olivia Rodrigo,107
Thullio Milionï¿½Ï¿,108
Lola,109
Libianca,110
Afrian Af,111
G-Eazy,112
J Ross,113
Manuel Turizo,114
Fli:P,115
Justin Bieber,116
Juice Wrld,117
Cardi B,118
Zico,119
Drake,120
Kurochuu,121
Jung Kook,122
Morgan Wallen,123
Bruno Mars,124
Ýýýýýýýýýýýýýýý(Ýýýýýýýýýýýýýýý),125
Shawn Mendes,126
Rosalï¿½,127
Dababy,128
Zach Bryan,129
Lizzo,130
The Chainsmokers,131
Jisoo,132
Camila Cabello,133
Feid,134
Maluma,135
Justin Timberlake,136
Jvke,137
Sexyy Red,138
Ariana Debose,139
Raye,140
Myles Smith,141
Pop Smoke,142
Maroon 5,143
Kygo,144
Bryson Tiller,145
Bennett,146
Halsey,147
Lady Gaga,148
Ayra Starr,149
Gayle,150
Kizz Daniel,151
Steve Lacy,152
Lisa,153
Quevedo,154
Treasure,155
Blackpink,156
The Puddleducks,157
Tinashe,158
Desiigner,159
Loreen,160
Doechii,161
Fifty Fifty,162
Newjeans,163
Coi Leray,164
Vayah,165
Daddy Yankee,166
D4Vd,167
Toosii,168
Luis R Conriquez,169
Bing Crosby,170
Biomigrant,171
Iï¿½Ï¿½Igo Quin,172
Joji,173
Yg Marley,174
Yandel,175
Rauw Alejandro,176
Wiz Khalifa,177
Lil Baby,178
Kep1Er,179
Mark Ronson,180
David Jackson,181
Ckay,182
J Balvin,183
Oliver Tree,184
Thï¿½Ï,185
D Billions,186
Lil Tjay,187
Powfu,188
Katy Perry,189
Kali Uchis,190
Selena,191
Nicky Youre,192
Ateez,193
The Script,194
Cris Mj,195
Xxxtentacion,196
Carin Leon,197
El Chombo,198
Isadora Pompeo,199
Twenty One Pilots,200
Cj,201
Marshmello,202
Fuerza Regida,203
Pedro Capï¿,204
Lil Tecca,205
Clean Bandit,206
Oliver Anthony Music,207
Dj Topo,208
Kettama,209
Lil Uzi Vert,210
Acraze,211
Usher,212
Dasha,213
Tam Sir,214
Popp Hunna,215
Evan Loss,216
Blush Response,217
Lit Killah,218
Tyga,219
Becky G,220
Stephen Sanchez,221
Conkarah,222
Noah Kahan,223
Ýýýýýýýýýý,224
Yuridia,225
Burna Boy,226
Happy Asmara,227
Armani White,228
Yoasobi,229
Natanael Cano,230
Azul,231
Trashxrl,232
Zeynep Bastï¿½,233
Chappell Roan,234
Ava Max,235
Ozuna,236
James Hype,237
Trevor Daniel,238
Lost Frequencies,239
Calvin Harris,240
Anuel Aa,241
Idina Menzel,242
Le Sserafim,243
Mavokali,244
Tiï¿½Ï¿,245
Regard,246
Zerb,247
Reynmen,248
Daine,249
Stan Getz,250
Calle 24,251
Cyril,252
Juliï¿½Ï¿½N Kh,253
Abd El Fattah Grini,254
Dj Snake,255
Anitta,256
Emkal,257
Xamdam Sobirov,258
Seventeen,259
Young Thug,260
Mï¿½Ï¿½Ne,261
Meyy,262
4Batz,263
Sub Urban,264
Saint Jhn,265
Chris Brown,266
Flo Milli,267
Bellakath,268
Histed,269
Bailey Zimmerman,270
Glorilla,271
Avicii,272
Ofenbach,273
Bad Gyal,274
Creeds,275
Davido,276
Anirudh Ravichander,277
The Box,278
Yeat,279
French Montana,280
Benjamin Richter,281
Stray Kids,282
Alex&Rus,283
Adam Port,284
James Arthur,285
Dada Black Sheep,286
Michael Marcagi,287
Nicki Minaj,288
Gotye,289
Charlie Puth,290
Kreepa,291
Polo G,292
Lukas Graham,293
Pharrell Williams,294
Chayanne,295
Passenger,296
Lithe,297
Masked Wolf,298
John Legend,299
Sleepy Hallow,300
Don Toliver,301
Childish Gambino,302
Tayc,303
Chris Pine,304
Carolina Gaitï¿½Ï¿½N - La G,305
Juliï¿½Ï¿½N Ï¿½Ï¿½Lvarez Y Su Norteï,306
Rasha Nahas,307
Mustard,308
El Reino Infantil,309
Muni Long,310
Mc Ig,311
Manu,312
Surf Mesa,313
P!Nk,314
Internet Money,315
Violent Femmes,316
Megan Thee Stallion,317
Carella,318
Jelly Roll,319
Jasleen Royal,320
Fifth Harmony,321
Khaid,322
Cupula Roja,323
Selena Gomez,324
Lil Peep,325
Kush & Tj,326
Khesari Lal Yadav,327
Kordhell,328
Sia,329
Ian G.,330
Ati2X06,331
Troye Sivan,332
Rihanna,333
Aurel Surya Lie,334
Elton John,335
Ive,336
Dynoro,337
Benny Blanco,338
Vishal-Shekhar,339
Lil Mabu,340
Shubh,341
Riton,342
Sebastian Yatra,343
Victoria Monï¿½,344
Shiva Choudhary,345
King Gnu,346
Bayanni,347
Big One,348
Sanju Rathod,349
Topic,350
Hollywood Dots The Oncelor,351
Mark Ambor,352
Zwe1Hvndxr,353
Jay Wheeler,354
Bayhan,355
Dennis,356
Tï¿½Ï¿½Ng Duy,357
Meduza,358
Nicky Jam,359
Ynw Melly,360
Mounika Yadav,361
Number_I,362
Amaarae,363
Josh Groban,364
(G)I-Dle,365
Kalpana,366
Lana Del Rey,367
Falls,368
King,369
Saweetie,370
Jason Derulo,371
Nio Garcia,372
Joost,373
Karl Wine,374
Martin Garrix,375
Cartel De Santa,376
Joel Corry,377
Dean Lewis,378
Polimï¿½Ï¿½ Westc,379
Yall,380
Rosa Linn,381
Jubin Nautiyal,382
Psy,383
Natti Natasha,384
Soolking,385
Jhayco,386
Alan Walker,387
Lf System,388
Black Eyed Peas,389
Blackbear,390
Giveon,391
Boywithuke,392
Chris Stapleton,393
Liamsi,394
Jid,395
Kodak Black,396
Mawell,397
Jackboys,398
Panic! At The Disco,399
Lori,400
Vï¿½,401
Bella Poarch,402
Junior H,403
Ciara,404
Arijit Singh,405
Coldplay,406
Young Nudy,407
Nardo Wick,408
Jungle,409
Lefty Sm,410
Victor Thompson,411
Harshavardhan Rameshwar,412
Luck Ra,413
Spyro,414
Jojo Siwa,415
Chino Pacas,416
Sie7E,417
Renuka Panwar,418
Arcï¿½Ï¿½,419
Boy Spyce,420
Lay Bankz,421
Gims,422
Surfaces,423
Saad Lamjarred,424
Khalid,425
Purple Disco Machine,426
Bibi Babydoll,427
Lil Cake,428
Nirvair Pannu,429
Tini,430
Fetty Wap,431
Interworld,432
Gera Mx,433
Lauv,434
Tiago Pzk,435
Shae Gill,436
Ohboyprince,437
Latto,438
The Kolors,439
Camilo,440
Yahritza Y Su Esencia,441
Adam,442
Alec Benjamin,443
Tommee Profitt,444
King Von,445
Dove Cameron,446
Jonas Brothers,447
Diler Kharkiya,448
Superstar Pride,449
6Ix9Ine,450
Flex (Uk),451
Mika Singh,452
Madison Beer,453
Surf Curse,454
Eden Muï¿½Ï,455
Jason Aldean,456
Kaio Viana,457
Jungeli,458
Shaan,459
Ado,460
K Camp,461
Bebe Rexha,462
5 Seconds Of Summer,463
The Neighbourhood,464
Tri Suaka,465
Kina,466
La Vaca Lola,467
Sech,468
Alex Favela,469
Staysolidrocky,470
Bossman Dlow,471
Tainy,472
Rag'N'Bone Man,473
Ýýneheart,474
Oscar Maydon,475
Emilia,476
Os Quebradeiras,477
Tomorrow X Together,478
Dimitri Vegas & Like Mike,479
J. Cole,480
Jnr Choi,481
Walker Hayes,482
Tory Lanez,483
Mitraz,484
Manan Bhardwaj,485
Benee,486
Major Lazer,487
Laufey,488
Jessi,489
Grupo Firme,490
Lmfao,491
Dj Mix Non-Stop Channel,492
Taiu,493
Los Ï¿½Ï¿½Ngeles Az,494
Aya Nakamura,495
Kane Brown,496
Semicenk,497
Xg,498
Casper Magico,499
Master Kg,500
Luan Pereira,501
Bento E Totï¿,502
Lil Mosey,503
Duke & Jones,504
Wizkid,505
Dxrk Ï¿½Ï¿½Ï¿½,506
Jhay Cortez,507
Young Miko,508
Neha Kakkar,509
Dj Boneng,510
Pawan Singh,511
Karan Aujla,512
Good Neighbours,513
A$Ap Rocky,514
Jowell & Randy,515
A Boogie Wit Da Hoodie,516
Djo,517
Isabel Larosa,518
Jennie,519
The Academy: Segunda Misiï¿½,520
Prince Ayaya,521
Agroplay,522
Badshah,523
Warren Zeiders,524
Brray,525
Calum Scott,526
Jessie Murph,527
Arizona Zervas,528
Nexz,529
Baby Keem,530
Nayeon,531
Alpha 9,532
Asake,533
Suicidal-Idol,534
Chase & Status,535
