All Time Rank,Track,rank_id
1,Million Dollar Baby,1
2,Not Like Us,2
3,I Like The Way You Kiss Me,3
4,Flowers,4
5,Houdini,5
6,Lovin On Me,6
7,Beautiful Things,7
8,Gata Only,8
9,Danza Kuduro - Cover,9
10,Band4Band (Feat. Lil Baby),10
11,I Had Some Help (Feat. Morgan Wallen),11
12,The Door,12
13,Lunch,13
14,Like That,14
15,Bathroom Floor,15
16,Lala,16
17,Fortnight (Feat. Post Malone),17
18,Greedy,18
19,Blue,19
20,As It Was,20
21,Paint The Town Red,21
22,Espresso,22
23,Danza Kuduro - Cover,23
24,Texas Hold 'Em,24
25,Future,25
26,Beat Automotivo Tan Tan Tan Viral,26
27,Stay (With Justin Bieber),27
28,Baby Shark,28
29,We Can'T Be Friends (Wait For Your Love),29
30,Numb / Encore,30
31,Danza Kuduro - Cover,31
32,Sheesh,32
33,Water,33
34,Strangers,34
35,Too Sweet,35
36,What'S Love Got To Do With It - 2023 Remaster,36
37,A Bar Song (Tipsy),37
38,Lose Control,38
39,Fukumean,39
40,Dance Monkey,40
41,Birds Of A Feather,41
42,Cupid Ï¿½Ï¿½Ï¿½ Twin Ver. (Fifty Fifty) Ï¿½Ï¿½Ï¿½ Spe,42
43,I'M Good (Blue),43
44,Daylight,44
45,My Love Mine All Mine,45
46,Please Please Please,46
47,Houdini,47
48,Danza Kuduro - Cover,48
49,If We Ever Broke Up,49
50,Despacito,50
51,Euphoria,51
52,Panda Basi,52
53,Calm Down (With Selena Gomez),53
54,Shape Of You,54
55,Mitu,55
56,Blinding Lights,56
57,Creepin' (With The Weeknd & 21 Savage),57
58,Dona Felicidade,58
59,Danza Kuduro - Cover,59
60,Unholy (Feat. Kim Petras),60
61,Stereo Love - Melodic,61
62,Very Cute Melody By Marimba Tone (39813),62
63,Supernova,63
64,Me Porto Bonito,64
65,Back That Azz Up (Feat. Lil Wayne & Mannie Fresh),65
66,Calm Down,66
67,Carnival,67
68,Kill Bill,68
69,"What Was I Made For? [From The Motion Picture ""Barbie""]",69
70,Babba,70
71,Heat Waves,71
72,In The End,72
73,"Shakira: Bzrp Music Sessions, Vol. 53",73
74,The Way We Move - Extended Mix,74
75,Old Town Road,75
76,Un X100To,76
77,Laxed Ï¿½Ï¿½Ï¿½ Sire,77
78,Sprinter,78
79,Chihiro,79
80,Tqg,80
81,Perfect,81
82,Pepas,82
83,Peekaboo,83
84,Ella Baila Sola,84
85,Dance The Night - From Barbie The Album,85
86,La Bebe - Remix,86
87,Redrum,87
88,Easy On Me,88
89,Titï¿½Ï¿½ Me Pregu,89
90,All My Life (Feat. J. Cole),90
91,Anti-Hero,91
92,"Quevedo: Bzrp Music Sessions, Vol. 52",92
93,Magnetic,93
94,Lollipop,94
95,La Diabla,95
96,Boy'S A Liar Pt. 2,96
97,Snooze,97
98,Bellakeo,98
99,Agora Hills,99
100,Prada,100
101,Montagem Rave Eterno,101
102,Lil Boo Thang,102
103,Monaco,103
104,Laxed (Siren Beat),104
105,(It Goes Like) Nanana - Edit,105
106,Training Season,106
107,Type Shit,107
108,Armageddon,108
109,The Box,109
110,Industry Baby (Feat. Jack Harlow),110
111,Pedro,111
112,Fast Car,112
113,Bling-Bang-Bang-Born,113
114,Aesthetic,114
116,Sunflower - Spider-Man: Into The Spider-Verse,115
115,Hands,116
117,Saturn,117
118,Chegou A Hora De Ir Para Cama (Playback),118
119,Believer,119
120,Wait For U (Feat. Drake & Tems),120
121,I Know ?,121
122,Ando,122
123,First Class,123
124,Fe!N,124
125,Save Your Tears - Live,125
126,Losing Interest - Original Mix,126
127,I Ain'T Worried,127
128,Mi Ex Tenï¿½Ï¿½A Ra,128
129,Drained Of Color,129
130,Mood (Feat. Iann Dior),130
131,Dynamite,131
132,Looking Like A Wow End Of Year 2023,132
133,Someone You Loved,133
134,Acrï¿½Ï¿½S,134
135,Made You Look,135
136,Phonk Brasileiro Fresco (Slowed + Reverb),136
137,"Sooseki (From ""Pushpa 2 The Rule"") [Telugu]",137
138,Vampire,138
139,Casca De Bala,139
140,Back,140
141,People,141
142,Jedag Jedug Capcut 2024,142
143,Lady Killers Ii (Christoph Andersson Remix),143
144,I Don'T Wanna Wait,144
145,Abc,145
146,La Bachata,146
147,Ýýýýýýýýýýýýýýýýýýýýý,147
148,Peaches (Feat. Daniel Caesar & Giveon),148
149,Don'T Start Now,149
150,Lucid Dreams,150
151,Provenza,151
152,Wap (Feat. Megan Thee Stallion),152
153,Spot!,153
154,Family Matters,154
155,Again,155
156,Seven (Feat. Latto) (Explicit Ver.),156
157,Last Night,157
158,Too Sweet,158
159,Bad Habits,159
160,Qlona,160
161,Leave The Door Open,161
162,Ýýýýýýýýýýýýýýýýýý,162
163,Good 4 U,163
164,Bad Guy,164
165,Seï¿½Ï¿½O,165
166,Despechï¿,166
167,Rockstar (Feat. Roddy Ricch),167
168,Eyes Closed,168
169,I Remember Everything (Feat. Kacey Musgraves),169
170,Circles,170
171,El Amor De Su Vida,171
172,About Damn Time,172
173,Closer,173
174,Flower,174
175,Perro Negro,175
176,Rich Baby Daddy (Feat. Sexyy Red & Sza),176
177,Havana (Feat. Young Thug),177
178,Luna,178
179,I Like You (A Happier Song) (With Doja Cat),179
180,Bones,180
182,Segï¿½Ï¿½N Qu,181
181,Selfish,182
183,Golden Hour,183
184,Levitating (Feat. Dababy),184
185,Get It Sexyy,185
186,"This Wish - From ""Wish""",186
187,Idgaf (Feat. Yeat),187
188,Ojitos Lindos,188
189,Life Is Good (Feat. Drake),189
190,Escapism.,190
191,Stargazing,191
192,Jimmy Cooks (Feat. 21 Savage),192
193,What You Know Bout Love,193
194,Memories,194
195,Classy 101,195
196,Whatever,196
197,Whatever She Wants,197
198,Vois Sur Ton Chemin - Techno Mix,198
199,"Yes, And?",199
200,Without Me,200
201,Meet The Grahams,201
202,First Person Shooter (Feat. J. Cole),202
204,Shallow,203
203,Thunder,204
205,Rush,205
206,Abcdefu,206
208,Buga,207
207,Bad Habit,208
210,Money,209
209,Columbia,210
212,Lady Gaga,211
211,Woman,212
213,Cuff It,213
214,King Kong,214
215,How You Like That,215
216,Milf Song,216
217,Nasty,217
218,Superhero (Heroes & Villains),218
219,Panda,219
220,Push Ups,220
221,Tattoo,221
222,Kiss Me More (Feat. Sza),222
223,What It Is (Block Boy) (With Kodak Black),223
224,Gata Only,224
225,Illusion,225
226,Drivers License,226
227,Used To Be Young,227
229,Cupid - Twin Ver.,228
228,How Sweet,229
230,Players,230
231,Rockstar (Feat. 21 Savage),231
232,Lil Somethin Somethin,232
236,Con Calma,233
234,Here With Me,234
