Track,Album Name,Explicit Track,Release Date,Artist,artist_id,track_id
Million Dollar Baby,Million Dollar Baby - Single,0,2024-04-26,Tommy Richman,1,1
Not Like Us,Not Like Us,1,2024-05-04,Kendrick Lamar,2,2
I Like The Way You Kiss Me,I Like The Way You Kiss Me,0,2024-03-19,Artemas,3,3
Flowers,Flowers - Single,0,2023-01-12,Miley Cyrus,4,4
Houdini,Houdini,1,2024-05-31,Eminem,5,5
Lovin On Me,Lovin On Me,1,2023-11-10,Jack Harlow,6,6
Beautiful Things,Beautiful Things,0,2024-01-18,Benson Boone,7,7
Gata Only,Gata Only,1,2024-02-02,Floyymenor,8,8
Danza Kuduro - Cover,Ýýýýýýýýýýýýýýýýýýýýý - Ýýýýýýýýýýýýýýýýýý -,1,2024-06-09,Music Lab Jpn,9,9
Band4Band (Feat. Lil Baby),Band4Band (Feat. Lil Baby),1,2024-05-23,Central Cee,10,10
I Had Some Help (Feat. Morgan Wallen),I Had Some Help,1,2024-05-10,Post Malone,11,11
The Door,The Door,1,2024-06-14,Teddy Swims,12,12
Lunch,Hit Me Hard And Soft,0,2024-05-17,Billie Eilish,13,13
Like That,We Don'T Trust You,1,2024-03-22,Future,14,14
Bathroom Floor,Bathroom Floor,0,2022-10-07,Kids With Buns,15,15
Lala,Lala - Single,1,2023-03-22,Myke Towers,16,16
Fortnight (Feat. Post Malone),The Tortured Poets Department,0,2024-04-18,Taylor Swift,17,17
Greedy,Greedy,1,2023-09-14,Tate Mcrae,18,18
Blue,Hit Me Hard And Soft,0,2024-05-17,Billie Eilish,13,19
As It Was,As It Was,0,2022-03-31,Harry Styles,19,20
Paint The Town Red,Paint The Town Red,1,2023-08-04,Doja Cat,20,21
Espresso,Espresso,1,2024-04-12,Sabrina Carpenter,21,22
Danza Kuduro - Cover,Club De Yokukiku Yougaku Medley,1,2024-05-21,Music Lab Jpn,9,23
Texas Hold 'Em,Texas Hold 'Em,1,2024-02-10,Beyoncï¿,22,24
Future,Future,0,2024-01-10,Official Sound Studio,23,25
Beat Automotivo Tan Tan Tan Viral,Beat Automotivo Tan Tan Tan Viral,0,2022-05-24,Wz Beat,24,26
Stay (With Justin Bieber),Stay (With Justin Bieber),1,2021-07-09,The Kid Laroi,25,27
Baby Shark,Ýýýýýýýýý Ýýýýýý Ýýýýýýýýýýýý,0,2015-12-01,Pinkfong,26,28
We Can'T Be Friends (Wait For Your Love),Eternal Sunshine,0,2024-03-08,Ariana Grande,27,29
Numb / Encore,Papercuts,1,2024-04-12,Jay-Z,28,30
Danza Kuduro - Cover,Ýýýýýýýýýýýýýýýýýýýýýýýýýýý Ýýýýýýýýýýýýýýýýýýýýýýýýýýý,1,2024-05-14,Love Bgm Jpn,29,31
Sheesh,Babymons7Er,0,2024-04-01,Babymonster,30,32
Water,Water,0,2023-07-28,Tyla,31,33
Strangers,Strangers,0,2023-09-01,Kenya Grace,32,34
Too Sweet,Unreal Unearth: Unheard,0,2024-03-22,Hozier,33,35
What'S Love Got To Do With It - 2023 Remaster,What'S Love Got To Do With It (30Th Anniversary Deluxe Edition),0,2024-04-26,Tina Turner,34,36
A Bar Song (Tipsy),A Bar Song (Tipsy),1,2024-04-12,Shaboozey,35,37
Lose Control,Lose Control,0,2023-06-23,Teddy Swims,12,38
Fukumean,Fukumean,1,2023-06-15,Gunna,36,39
Dance Monkey,Dance Monkey,0,2019-05-10,Tones And I,37,40
Birds Of A Feather,Hit Me Hard And Soft,0,2024-05-17,Billie Eilish,13,41
Cupid Ï¿½Ï¿½Ï¿½ Twin Ver. (Fifty Fifty) Ï¿½Ï¿½Ï¿½ Spe,Cupid Ï¿½Ï¿½Ï¿½ Twin Ver. (Fifty Fifty) Ï¿½Ï¿½Ï¿½ Spe,1,2023-04-08,Sped Up 8282,38,42
I'M Good (Blue),I'M Good (Blue),1,2022-08-26,David Guetta,39,43
Daylight,Daylight,0,2023-04-14,David Kushner,40,44
My Love Mine All Mine,The Land Is Inhospitable And So Are We,0,2023-09-15,Mitski,41,45
Please Please Please,Please Please Please,1,2024-06-06,Sabrina Carpenter,21,46
Houdini,Houdini - Single,0,2023-11-09,Dua Lipa,42,47
Danza Kuduro - Cover,Gekiatu Best Age Song - Club Song,1,2024-05-02,Music Lab Jpn,9,48
If We Ever Broke Up,If We Ever Broke Up,1,2023-02-10,Mae Stephens,43,49
Despacito,Despacito (Featuring Daddy Yankee),0,2017-01-13,Luis Fonsi,44,50
Euphoria,Euphoria,1,2024-04-30,Kendrick Lamar,2,51
Panda Basi,Panda Basi - Ep,0,2023-02-10,Mvua,45,52
Calm Down (With Selena Gomez),Calm Down (With Selena Gomez),0,2022-08-25,Rema,46,53
Shape Of You,Shape Of You,0,2017-01-06,Ed Sheeran,47,54
Mitu,Mitu - Single,0,2023-01-19,Maian,48,55
Blinding Lights,Blinding Lights,0,2019-11-29,The Weeknd,49,56
Creepin' (With The Weeknd & 21 Savage),Heroes & Villains,1,2022-12-02,Metro Boomin,50,57
Dona Felicidade,Dona Felicidade,0,2024-06-04,Patati Patatï¿,51,58
Danza Kuduro - Cover,Yougaku Morimori Club Medley,1,2024-04-29,Music Lab Jpn,9,59
Unholy (Feat. Kim Petras),Unholy (Feat. Kim Petras),0,2022-09-22,Sam Smith,52,60
Stereo Love - Melodic,Stereo Love Deluxe (Feat. Vika Jigulina),0,2024-06-05,Edward Maya,53,61
Very Cute Melody By Marimba Tone (39813),Very Cute Melody By Marimba Tone (39813),0,2023-12-31,Mitsu Sound,54,62
